B01003_001E,NAME,GEOID,american indian area/alaska native area/hawaiian home land
1924,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",25000US3415,3415
132,"San Manuel Reservation and Off-Reservation Trust Land, CA",25000US3445,3445
819,"San Pasqual Reservation, CA",25000US3460,3460
695,"Santa Ana Pueblo, NM",25000US3480,3480
11613,"Santa Clara Pueblo and Off-Reservation Trust Land, NM",25000US3495,3495
775,"Santa Rosa Rancheria, CA",25000US3520,3520
139,"Santa Rosa Reservation, CA",25000US3525,3525
269,"Santa Ynez Reservation, CA",25000US3540,3540
297,"Santa Ysabel Reservation, CA",25000US3550,3550
1019,"Santee Reservation, NE",25000US3565,3565
3349,"Santo Domingo Pueblo, NM",25000US3585,3585
61,"Sauk-Suiattle Reservation, WA",25000US3625,3625
2295,"Sault Ste. Marie Reservation and Off-Reservation Trust Land, MI",25000US3635,3635
0,"Seminole (FL) Trust Land, FL",25000US3665,3665
510,"Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land, MN",25000US3680,3680
133,"Sherwood Valley Rancheria and Off-Reservation Trust Land, CA",25000US3735,3735
106,"Shingle Springs Rancheria and Off-Reservation Trust Land, CA",25000US3750,3750
140,"Shoalwater Bay Indian Reservation and Off-Reservation Trust Land, WA",25000US3780,3780
530,"Siletz Reservation and Off-Reservation Trust Land, OR",25000US3795,3795
758,"Skokomish Reservation, WA",25000US3825,3825
35,"Skull Valley Reservation, UT",25000US3840,3840
113,"Smith River Rancheria and Off-Reservation Trust Land, CA",25000US3855,3855
0,"Snoqualmie Reservation, WA",25000US3860,3860
525,"Soboba Reservation and Off-Reservation Trust Land, CA",25000US3870,3870
602,"Sokaogon Chippewa Community and Off-Reservation Trust Land, WI",25000US3885,3885
13043,"Southern Ute Reservation, CO",25000US3925,3925
96,"South Fork Reservation and Off-Reservation Trust Land, NV",25000US3930,3930
4240,"Spirit Lake Reservation, ND",25000US3935,3935
2064,"Spokane Reservation and Off-Reservation Trust Land, WA",25000US3940,3940
470,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",25000US3955,3955
8452,"Standing Rock Reservation, SD--ND",25000US3970,3970
151,"Stewart Community, NV",25000US3980,3980
71,"Stewarts Point Rancheria, CA",25000US3985,3985
17,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",25000US4000,4000
926,"Stockbridge Munsee Community and Off-Reservation Trust Land, WI",25000US4015,4015
75,"Sulphur Bank Rancheria, CA",25000US4030,4030
0,"Summit Lake Reservation and Off-Reservation Trust Land, NV",25000US4045,4045
655,"Susanville Indian Rancheria and Off-Reservation Trust Land, CA",25000US4060,4060
3071,"Swinomish Reservation and Off-Reservation Trust Land, WA",25000US4075,4075
185,"Sycuan Reservation and Off-Reservation Trust Land, CA",25000US4090,4090
99,"Table Bluff Reservation, CA",25000US4095,4095
35,"Table Mountain Rancheria, CA",25000US4110,4110
0,"Tampa Reservation, FL",25000US4130,4130
5181,"Taos Pueblo and Off-Reservation Trust Land, NM",25000US4140,4140
727,"Tesuque Pueblo and Off-Reservation Trust Land, NM",25000US4170,4170
23,"Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land, CA--NV",25000US4180,4180
9969,"Tohono O'odham Nation Reservation and Off-Reservation Trust Land, AZ",25000US4200,4200
560,"Tonawanda Reservation, NY",25000US4225,4225
79,"Tonto Apache Reservation and Off-Reservation Trust Land, AZ",25000US4235,4235
4851,"Torres-Martinez Reservation, CA",25000US4255,4255
163,"Trinidad Rancheria and Off-Reservation Trust Land, CA",25000US4275,4275
10105,"Tulalip Reservation and Off-Reservation Trust Land, WA",25000US4290,4290
1388,"Tule River Reservation and Off-Reservation Trust Land, CA",25000US4300,4300
135,"Tunica-Biloxi Reservation and Off-Reservation Trust Land, LA",25000US4315,4315
146,"Tuolumne Rancheria, CA",25000US4330,4330
9006,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",25000US4345,4345
1061,"Tuscarora Nation Reservation, NY",25000US4360,4360
10,"Twenty-Nine Palms Reservation, CA",25000US4375,4375
25201,"Uintah and Ouray Reservation and Off-Reservation Trust Land, UT",25000US4390,4390
2837,"Umatilla Reservation and Off-Reservation Trust Land, OR",25000US4405,4405
146,"Upper Lake Rancheria, CA",25000US4430,4430
183,"Upper Sioux Community and Off-Reservation Trust Land, MN",25000US4445,4445
296,"Upper Skagit Reservation, WA",25000US4455,4455
1579,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",25000US4470,4470
422,"Viejas Reservation, CA",25000US4500,4500
812,"Walker River Reservation, NV",25000US4515,4515
99,"Wampanoag-Aquinnah Trust Land, MA",25000US4530,4530
4207,"Warm Springs Reservation and Off-Reservation Trust Land, OR",25000US4545,4545
