B01003_001E,NAME,GEOID,metropolitan statistical area/micropolitan statistical area
45300,"Harrison, AR Micro Area",31000US25460,25460
128166,"Harrisonburg, VA Metro Area",31000US25500,25500
1215159,"Hartford-West Hartford-East Hartford, CT Metro Area",31000US25540,25540
31396,"Hastings, NE Micro Area",31000US25580,25580
146370,"Hattiesburg, MS Metro Area",31000US25620,25620
28878,"Hays, KS Micro Area",31000US25700,25700
25550,"Heber, UT Micro Area",31000US25720,25720
76237,"Helena, MT Micro Area",31000US25740,25740
20847,"Helena-West Helena, AR Micro Area",31000US25760,25760
44998,"Henderson, NC Micro Area",31000US25780,25780
19331,"Hereford, TX Micro Area",31000US25820,25820
87862,"Hermiston-Pendleton, OR Micro Area",31000US25840,25840
363936,"Hickory-Lenoir-Morganton, NC Metro Area",31000US25860,25860
46282,"Hillsdale, MI Micro Area",31000US25880,25880
189382,"Hilo, HI Micro Area",31000US25900,25900
194495,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",31000US25940,25940
80456,"Hinesville, GA Metro Area",31000US25980,25980
66876,"Hobbs, NM Micro Area",31000US26020,26020
112266,"Holland, MI Micro Area",31000US26090,26090
139771,"Homosassa Springs, FL Metro Area",31000US26140,26140
22620,"Hood River, OR Micro Area",31000US26220,26220
96804,"Hot Springs, AR Metro Area",31000US26300,26300
38936,"Houghton, MI Micro Area",31000US26340,26340
209402,"Houma-Thibodaux, LA Metro Area",31000US26380,26380
6204141,"Houston-The Woodlands-Sugar Land, TX Metro Area",31000US26420,26420
62525,"Hudson, NY Micro Area",31000US26460,26460
45950,"Huntingdon, PA Micro Area",31000US26500,26500
36959,"Huntington, IN Micro Area",31000US26540,26540
364514,"Huntington-Ashland, WV-KY-OH Metro Area",31000US26580,26580
430396,"Huntsville, AL Metro Area",31000US26620,26620
83334,"Huntsville, TX Micro Area",31000US26660,26660
17922,"Huron, SD Micro Area",31000US26700,26700
64223,"Hutchinson, KS Micro Area",31000US26740,26740
36172,"Hutchinson, MN Micro Area",31000US26780,26780
136057,"Idaho Falls, ID Metro Area",31000US26820,26820
88301,"Indiana, PA Micro Area",31000US26860,26860
1931182,"Indianapolis-Carmel-Anderson, IN Metro Area",31000US26900,26900
28314,"Indianola, MS Micro Area",31000US26940,26940
