B01003_001E,NAME,GEOID,state,congressional district
781254,"Congressional District 2 (114th Congress), Oregon",50000US4102,41,02
799338,"Congressional District 3 (114th Congress), Oregon",50000US4103,41,03
773605,"Congressional District 4 (114th Congress), Oregon",50000US4104,41,04
787386,"Congressional District 5 (114th Congress), Oregon",50000US4105,41,05
707654,"Congressional District 1 (114th Congress), Pennsylvania",50000US4201,42,01
719392,"Congressional District 2 (114th Congress), Pennsylvania",50000US4202,42,02
700703,"Congressional District 3 (114th Congress), Pennsylvania",50000US4203,42,03
714595,"Congressional District 4 (114th Congress), Pennsylvania",50000US4204,42,04
706400,"Congressional District 5 (114th Congress), Pennsylvania",50000US4205,42,05
719763,"Congressional District 6 (114th Congress), Pennsylvania",50000US4206,42,06
716023,"Congressional District 7 (114th Congress), Pennsylvania",50000US4207,42,07
708560,"Congressional District 8 (114th Congress), Pennsylvania",50000US4208,42,08
701011,"Congressional District 9 (114th Congress), Pennsylvania",50000US4209,42,09
704169,"Congressional District 10 (114th Congress), Pennsylvania",50000US4210,42,10
707670,"Congressional District 11 (114th Congress), Pennsylvania",50000US4211,42,11
704203,"Congressional District 12 (114th Congress), Pennsylvania",50000US4212,42,12
721966,"Congressional District 13 (114th Congress), Pennsylvania",50000US4213,42,13
704815,"Congressional District 14 (114th Congress), Pennsylvania",50000US4214,42,14
716514,"Congressional District 15 (114th Congress), Pennsylvania",50000US4215,42,15
717967,"Congressional District 16 (114th Congress), Pennsylvania",50000US4216,42,16
700379,"Congressional District 17 (114th Congress), Pennsylvania",50000US4217,42,17
707775,"Congressional District 18 (114th Congress), Pennsylvania",50000US4218,42,18
3583073,"Resident Commissioner District (at Large) (114th Congress), Puerto Rico",50000US7298,72,98
528427,"Congressional District 1 (114th Congress), Rhode Island",50000US4401,44,01
525234,"Congressional District 2 (114th Congress), Rhode Island",50000US4402,44,02
712074,"Congressional District 1 (114th Congress), South Carolina",50000US4501,45,01
681406,"Congressional District 2 (114th Congress), South Carolina",50000US4502,45,02
668814,"Congressional District 3 (114th Congress), South Carolina",50000US4503,45,03
689104,"Congressional District 4 (114th Congress), South Carolina",50000US4504,45,04
678910,"Congressional District 5 (114th Congress), South Carolina",50000US4505,45,05
667105,"Congressional District 6 (114th Congress), South Carolina",50000US4506,45,06
680163,"Congressional District 7 (114th Congress), South Carolina",50000US4507,45,07
843190,"Congressional District (at Large) (114th Congress), South Dakota",50000US4600,46,00
709547,"Congressional District 1 (114th Congress), Tennessee",50000US4701,47,01
721436,"Congressional District 2 (114th Congress), Tennessee",50000US4702,47,02
717815,"Congressional District 3 (114th Congress), Tennessee",50000US4703,47,03
733717,"Congressional District 4 (114th Congress), Tennessee",50000US4704,47,04
737704,"Congressional District 5 (114th Congress), Tennessee",50000US4705,47,05
728457,"Congressional District 6 (114th Congress), Tennessee",50000US4706,47,06
732702,"Congressional District 7 (114th Congress), Tennessee",50000US4707,47,07
707982,"Congressional District 8 (114th Congress), Tennessee",50000US4708,47,08
710255,"Congressional District 9 (114th Congress), Tennessee",50000US4709,47,09
709646,"Congressional District 1 (114th Congress), Texas",50000US4801,48,01
745283,"Congressional District 2 (114th Congress), Texas",50000US4802,48,02
770105,"Congressional District 3 (114th Congress), Texas",50000US4803,48,03
714953,"Congressional District 4 (114th Congress), Texas",50000US4804,48,04
724157,"Congressional District 5 (114th Congress), Texas",50000US4805,48,05
732310,"Congressional District 6 (114th Congress), Texas",50000US4806,48,06
742386,"Congressional District 7 (114th Congress), Texas",50000US4807,48,07
759942,"Congressional District 8 (114th Congress), Texas",50000US4808,48,08
741226,"Congressional District 9 (114th Congress), Texas",50000US4809,48,09
760755,"Congressional District 10 (114th Congress), Texas",50000US4810,48,10
733162,"Congressional District 11 (114th Congress), Texas",50000US4811,48,11
742964,"Congressional District 12 (114th Congress), Texas",50000US4812,48,12
705632,"Congressional District 13 (114th Congress), Texas",50000US4813,48,13
717656,"Congressional District 14 (114th Congress), Texas",50000US4814,48,14
740657,"Congressional District 15 (114th Congress), Texas",50000US4815,48,15
728187,"Congressional District 16 (114th Congress), Texas",50000US4816,48,16
727840,"Congressional District 17 (114th Congress), Texas",50000US4817,48,17
736283,"Congressional District 18 (114th Congress), Texas",50000US4818,48,18
713951,"Congressional District 19 (114th Congress), Texas",50000US4819,48,19
749530,"Congressional District 20 (114th Congress), Texas",50000US4820,48,20
746822,"Congressional District 21 (114th Congress), Texas",50000US4821,48,21
786002,"Congressional District 22 (114th Congress), Texas",50000US4822,48,22
730817,"Congressional District 23 (114th Congress), Texas",50000US4823,48,23
747381,"Congressional District 24 (114th Congress), Texas",50000US4824,48,24
738761,"Congressional District 25 (114th Congress), Texas",50000US4825,48,25
771286,"Congressional District 26 (114th Congress), Texas",50000US4826,48,26
719002,"Congressional District 27 (114th Congress), Texas",50000US4827,48,27
730332,"Congressional District 28 (114th Congress), Texas",50000US4828,48,28
730411,"Congressional District 29 (114th Congress), Texas",50000US4829,48,29
733277,"Congressional District 30 (114th Congress), Texas",50000US4830,48,30
759528,"Congressional District 31 (114th Congress), Texas",50000US4831,48,31
732953,"Congressional District 32 (114th Congress), Texas",50000US4832,48,32
720668,"Congressional District 33 (114th Congress), Texas",50000US4833,48,33
717149,"Congressional District 34 (114th Congress), Texas",50000US4834,48,34
758070,"Congressional District 35 (114th Congress), Texas",50000US4835,48,35
719530,"Congressional District 36 (114th Congress), Texas",50000US4836,48,36
720434,"Congressional District 1 (114th Congress), Utah",50000US4901,49,01
718869,"Congressional District 2 (114th Congress), Utah",50000US4902,49,02
720828,"Congressional District 3 (114th Congress), Utah",50000US4903,49,03
743248,"Congressional District 4 (114th Congress), Utah",50000US4904,49,04
757549,"Congressional District 1 (114th Congress), Virginia",50000US5101,51,01
736280,"Congressional District 2 (114th Congress), Virginia",50000US5102,51,02
741771,"Congressional District 3 (114th Congress), Virginia",50000US5103,51,03
743687,"Congressional District 4 (114th Congress), Virginia",50000US5104,51,04
731594,"Congressional District 5 (114th Congress), Virginia",50000US5105,51,05
740643,"Congressional District 6 (114th Congress), Virginia",50000US5106,51,06
756666,"Congressional District 7 (114th Congress), Virginia",50000US5107,51,07
772740,"Congressional District 8 (114th Congress), Virginia",50000US5108,51,08
